/root/code/Mamba-UNet-main/code/train_fully_supervised_2D_ViT.py:32: DeprecationWarning: Please import `zoom` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import zoom
/root/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
Namespace(root_path='../data/ACDC', exp='ACDC/swinunet', model='swinunet', max_iterations=10000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[224, 224], seed=1337, num_classes=4, cfg='../code/configs/swin_tiny_patch4_window7_224_lite.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, labeled_bs=12, labeled_num=140, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0)
SwinTransformerSys expand initial----depths:[2, 2, 2, 2];depths_decoder:[1, 2, 2, 2];drop_path_rate:0.2;num_classes:4
---final upsample expand_first---
pretrained_path:../code/pretrained_ckpt/swin_tiny_patch4_window7_224.pth
---start load pretrained modle of swin encoder---
total 1312 samples
total 20 samples
55 iterations per epoch
  0%|                                         | 0/182 [00:00<?, ?it/s]iteration 1 : loss : 1.176010, loss_ce: 1.519468, loss_dice: 0.832552
  2%|▌                                | 3/182 [00:16<16:32,  5.55s/it]iteration 166 : loss : 0.454088, loss_ce: 0.192423, loss_dice: 0.715754
iteration 167 : loss : 0.464513, loss_ce: 0.215173, loss_dice: 0.713853
iteration 168 : loss : 0.469427, loss_ce: 0.223264, loss_dice: 0.715590
iteration 169 : loss : 0.464923, loss_ce: 0.218554, loss_dice: 0.711292
iteration 170 : loss : 0.464597, loss_ce: 0.216684, loss_dice: 0.712511
iteration 171 : loss : 0.458352, loss_ce: 0.208877, loss_dice: 0.707827
iteration 172 : loss : 0.450706, loss_ce: 0.194221, loss_dice: 0.707191
iteration 173 : loss : 0.467058, loss_ce: 0.227211, loss_dice: 0.706904
iteration 174 : loss : 0.453296, loss_ce: 0.203781, loss_dice: 0.702811
iteration 175 : loss : 0.445189, loss_ce: 0.192154, loss_dice: 0.698223
iteration 176 : loss : 0.460537, loss_ce: 0.225830, loss_dice: 0.695243
iteration 177 : loss : 0.439807, loss_ce: 0.198441, loss_dice: 0.681173
iteration 178 : loss : 0.441632, loss_ce: 0.195235, loss_dice: 0.688029
iteration 179 : loss : 0.445010, loss_ce: 0.217215, loss_dice: 0.672806
iteration 180 : loss : 0.443661, loss_ce: 0.217678, loss_dice: 0.669643
iteration 181 : loss : 0.432880, loss_ce: 0.222992, loss_dice: 0.642768
iteration 182 : loss : 0.426647, loss_ce: 0.177660, loss_dice: 0.675634
iteration 183 : loss : 0.441405, loss_ce: 0.185689, loss_dice: 0.697121
iteration 184 : loss : 0.449972, loss_ce: 0.200544, loss_dice: 0.699401
iteration 185 : loss : 0.453798, loss_ce: 0.203432, loss_dice: 0.704164
iteration 186 : loss : 0.437002, loss_ce: 0.214076, loss_dice: 0.659928
iteration 187 : loss : 0.433726, loss_ce: 0.239143, loss_dice: 0.628310
iteration 188 : loss : 0.398741, loss_ce: 0.194382, loss_dice: 0.603099
iteration 189 : loss : 0.426235, loss_ce: 0.171577, loss_dice: 0.680892
iteration 190 : loss : 0.409107, loss_ce: 0.157844, loss_dice: 0.660370
iteration 191 : loss : 0.401099, loss_ce: 0.194273, loss_dice: 0.607925
iteration 192 : loss : 0.461955, loss_ce: 0.318362, loss_dice: 0.605548
iteration 193 : loss : 0.409060, loss_ce: 0.168540, loss_dice: 0.649581
iteration 194 : loss : 0.424588, loss_ce: 0.185088, loss_dice: 0.664088
iteration 195 : loss : 0.383497, loss_ce: 0.136095, loss_dice: 0.630900
iteration 196 : loss : 0.386252, loss_ce: 0.202502, loss_dice: 0.570002
iteration 197 : loss : 0.391092, loss_ce: 0.189845, loss_dice: 0.592339
iteration 198 : loss : 0.354788, loss_ce: 0.146006, loss_dice: 0.563570
iteration 199 : loss : 0.366139, loss_ce: 0.152851, loss_dice: 0.579427
iteration 200 : loss : 0.359734, loss_ce: 0.138808, loss_dice: 0.580660
iteration 200 : mean_dice : 0.182342 mean_hd95 : 26.356794
iteration 201 : loss : 0.357449, loss_ce: 0.155397, loss_dice: 0.559500
iteration 202 : loss : 0.343595, loss_ce: 0.155310, loss_dice: 0.531879
iteration 203 : loss : 0.336635, loss_ce: 0.127379, loss_dice: 0.545890
iteration 204 : loss : 0.324003, loss_ce: 0.126835, loss_dice: 0.521170
iteration 205 : loss : 0.345568, loss_ce: 0.167058, loss_dice: 0.524079
iteration 206 : loss : 0.349688, loss_ce: 0.140258, loss_dice: 0.559118
iteration 207 : loss : 0.330724, loss_ce: 0.154363, loss_dice: 0.507085
iteration 208 : loss : 0.351130, loss_ce: 0.147533, loss_dice: 0.554728
iteration 209 : loss : 0.325220, loss_ce: 0.126997, loss_dice: 0.523444
